planId,planName,planCode,provisionType,suggestedService,serviceId,exampleSkus
153,GKE Controller,gke.default,GKE,Kubernetes Engine,,05C1-AF31-E5F4|Autopilot Balanced Spot Pod Memory Requests (asia-southeast2); 0CB0-FD44-34AF|Autopilot Pod mCPU Requests (asia-southeast2); 0E5C-D3D9-1852|Autopilot SSD Pod Ephemeral Storage Requests (asia-southeast2)
519,f1-micro - 1 vCPU (shared physical core) and 0.6 GB RAM,f1-micro,Google,,,
520,g1-small - 1 vCPU (shared physical core) and 1.7 GB RAM,g1-small,Google,,,
565,"n1-standard-1 - 1 vCPU, 3.75 GB RAM",n1-standard-1,Google,Compute Engine,,
567,"n1-standard-2 - 2 vCPUs, 7.5 GB RAM",n1-standard-2,Google,Compute Engine,,
569,"n1-standard-4 - 4 vCPUs, 15 GB RAM",n1-standard-4,Google,Compute Engine,,
571,"n1-standard-8 - 8 vCPUs, 30 GB RAM",n1-standard-8,Google,Compute Engine,,
566,"n1-standard-16 - 16 vCPUs, 60 GB RAM",n1-standard-16,Google,Compute Engine,,
568,"n1-standard-32 - 32 vCPUs, 120 GB RAM",n1-standard-32,Google,Compute Engine,,
570,"n1-standard-64 - 64 vCPUs, 240 GB RAM",n1-standard-64,Google,Compute Engine,,
572,"n1-standard-96 - 96 vCPUs, 360 GB RAM",n1-standard-96,Google,Compute Engine,,
558,"n1-highmem-2 - 2 vCPUs, 13 GB RAM",n1-highmem-2,Google,Compute Engine,,
560,"n1-highmem-4 - 4 vCPUs, 26 GB RAM",n1-highmem-4,Google,Compute Engine,,
562,"n1-highmem-8 - 8 vCPUs, 52 GB RAM",n1-highmem-8,Google,Compute Engine,,
557,"n1-highmem-16 - 16 vCPUs, 104 GB RAM",n1-highmem-16,Google,Compute Engine,,
559,"n1-highmem-32 - 32 vCPUs, 208 GB RAM",n1-highmem-32,Google,Compute Engine,,
561,"n1-highmem-64 - 64 vCPUs, 416 GB RAM",n1-highmem-64,Google,Compute Engine,,
563,"n1-highmem-96 - 96 vCPUs, 624 GB RAM",n1-highmem-96,Google,Compute Engine,,
551,"n1-highcpu-2 - 2 vCPUs, 1.8 GB RAM",n1-highcpu-2,Google,Compute Engine,,
553,"n1-highcpu-4 - 4 vCPUs, 3.6 GB RAM",n1-highcpu-4,Google,Compute Engine,,
555,"n1-highcpu-8 - 8 vCPUs, 7.2 GB RAM",n1-highcpu-8,Google,Compute Engine,,
550,"n1-highcpu-16 - 16 vCPUs, 14.4 GB RAM",n1-highcpu-16,Google,Compute Engine,,
552,"n1-highcpu-32 - 32 vCPUs, 28.8 GB RAM",n1-highcpu-32,Google,Compute Engine,,
554,"n1-highcpu-64 - 64 vCPUs, 57.6 GB RAM",n1-highcpu-64,Google,Compute Engine,,
556,"n1-highcpu-96 - 96 vCPUs, 86 GB RAM",n1-highcpu-96,Google,Compute Engine,,
154,n1-custom,custom-google,Google,Compute Engine,,
512,"e2-micro - Efficient Instance, 2 vCPU (1/8 shared physical core) and 1 GB RAM",e2-micro,Google,Compute Engine,,
158,e2-custom-micro,e2-custom-micro-google,Google,Compute Engine,,
513,"e2-small - Efficient Instance, 2 vCPU (1/4 shared physical core) and 2 GB RAM",e2-small,Google,Compute Engine,,
159,e2-custom-small,e2-custom-small-google,Google,Compute Engine,,
511,"e2-medium - Efficient Instance, 2 vCPU (1/2 shared physical core) and 4 GB RAM",e2-medium,Google,Compute Engine,,
160,e2-custom-medium,e2-custom-medium-google,Google,Compute Engine,,
515,"e2-standard-2 - Efficient Instance, 2 vCPUs, 8 GB RAM",e2-standard-2,Google,Compute Engine,,
517,"e2-standard-4 - Efficient Instance, 4 vCPUs, 16 GB RAM",e2-standard-4,Google,Compute Engine,,
518,"e2-standard-8 - Efficient Instance, 8 vCPUs, 32 GB RAM",e2-standard-8,Google,Compute Engine,,
514,"e2-standard-16 - Efficient Instance, 16 vCPUs, 64 GB RAM",e2-standard-16,Google,Compute Engine,,
516,"e2-standard-32 - Efficient Instance, 32 vCPUs, 128 GB RAM",e2-standard-32,Google,Compute Engine,,
157,e2-custom,e2-custom-google,Google,Compute Engine,,
508,"e2-highmem-2 - Efficient Instance, 2 vCPUs, 16 GB RAM",e2-highmem-2,Google,Compute Engine,,
509,"e2-highmem-4 - Efficient Instance, 4 vCPUs, 32 GB RAM",e2-highmem-4,Google,Compute Engine,,
510,"e2-highmem-8 - Efficient Instance, 8 vCPUs, 64 GB RAM",e2-highmem-8,Google,Compute Engine,,
507,"e2-highmem-16 - Efficient Instance, 16 vCPUs, 128 GB RAM",e2-highmem-16,Google,Compute Engine,,
503,"e2-highcpu-2 - Efficient Instance, 2 vCPUs, 2 GB RAM",e2-highcpu-2,Google,Compute Engine,,
505,"e2-highcpu-4 - Efficient Instance, 4 vCPUs, 4 GB RAM",e2-highcpu-4,Google,Compute Engine,,
506,"e2-highcpu-8 - Efficient Instance, 8 vCPUs, 8 GB RAM",e2-highcpu-8,Google,Compute Engine,,
502,"e2-highcpu-16 - Efficient Instance, 16 vCPUs, 16 GB RAM",e2-highcpu-16,Google,Compute Engine,,
504,"e2-highcpu-32 - Efficient Instance, 32 vCPUs, 32 GB RAM",e2-highcpu-32,Google,Compute Engine,,
597,n2-standard-2 - 2 vCPUs 8 GB RAM,n2-standard-2,Google,Compute Engine,,
599,n2-standard-4 - 4 vCPUs 16 GB RAM,n2-standard-4,Google,Compute Engine,,
602,n2-standard-8 - 8 vCPUs 32 GB RAM,n2-standard-8,Google,Compute Engine,,
596,n2-standard-16 - 16 vCPUs 64 GB RAM,n2-standard-16,Google,Compute Engine,,
598,n2-standard-32 - 32 vCPUs 128 GB RAM,n2-standard-32,Google,Compute Engine,,
600,n2-standard-48 - 48 vCPUs 192 GB RAM,n2-standard-48,Google,Compute Engine,,
601,n2-standard-64 - 64 vCPUs 256 GB RAM,n2-standard-64,Google,Compute Engine,,
603,n2-standard-80 - 80 vCPUs 320 GB RAM,n2-standard-80,Google,Compute Engine,,
604,n2-standard-96 - 96 vCPUs 384 GB RAM,n2-standard-96,Google,Compute Engine,,
595,n2-standard-128 - 128 vCPUs 512 GB RAM,n2-standard-128,Google,Compute Engine,,
587,n2-highmem-2 - 2 vCPUs 16 GB RAM,n2-highmem-2,Google,Compute Engine,,
589,n2-highmem-4 - 4 vCPUs 32 GB RAM,n2-highmem-4,Google,Compute Engine,,
592,n2-highmem-8 - 8 vCPUs 64 GB RAM,n2-highmem-8,Google,Compute Engine,,
586,n2-highmem-16 - 16 vCPUs 128 GB RAM,n2-highmem-16,Google,Compute Engine,,
588,n2-highmem-32 - 32 vCPUs 256 GB RAM,n2-highmem-32,Google,Compute Engine,,
590,n2-highmem-48 - 48 vCPUs 384 GB RAM,n2-highmem-48,Google,Compute Engine,,
591,n2-highmem-64 - 64 vCPUs 512 GB RAM,n2-highmem-64,Google,Compute Engine,,
593,n2-highmem-80 - 80 vCPUs 640 GB RAM,n2-highmem-80,Google,Compute Engine,,
594,n2-highmem-96 - 96 vCPUs 768 GB RAM,n2-highmem-96,Google,Compute Engine,,
585,n2-highmem-128 - 128 vCPUs 864 GB RAM,n2-highmem-128,Google,Compute Engine,,
577,n2-highcpu-2 - 2 vCPUs 2 GB RAM,n2-highcpu-2,Google,Compute Engine,,
579,n2-highcpu-4 - 4 vCPUs 4 GB RAM,n2-highcpu-4,Google,Compute Engine,,
582,n2-highcpu-8 - 8 vCPUs 8 GB RAM,n2-highcpu-8,Google,Compute Engine,,
576,n2-highcpu-16 - 16 vCPUs 16 GB RAM,n2-highcpu-16,Google,Compute Engine,,
578,n2-highcpu-32 - 32 vCPUs 32 GB RAM,n2-highcpu-32,Google,Compute Engine,,
580,n2-highcpu-48 - 48 vCPUs 48 GB RAM,n2-highcpu-48,Google,Compute Engine,,
581,n2-highcpu-64 - 64 vCPUs 64 GB RAM,n2-highcpu-64,Google,Compute Engine,,
583,n2-highcpu-80 - 80 vCPUs 80 GB RAM,n2-highcpu-80,Google,Compute Engine,,
584,n2-highcpu-96 - 96 vCPUs 96 GB RAM,n2-highcpu-96,Google,Compute Engine,,
155,n2-custom,n2-custom-google,Google,Compute Engine,,
627,n2d-standard-2 - 2 vCPUs 8 GB RAM,n2d-standard-2,Google,Compute Engine,,
630,n2d-standard-4 - 4 vCPUs 16 GB RAM,n2d-standard-4,Google,Compute Engine,,
633,n2d-standard-8 - 8 vCPUs 32 GB RAM,n2d-standard-8,Google,Compute Engine,,
626,n2d-standard-16 - 16 vCPUs 64 GB RAM,n2d-standard-16,Google,Compute Engine,,
629,n2d-standard-32 - 32 vCPUs 128 GB RAM,n2d-standard-32,Google,Compute Engine,,
631,n2d-standard-48 - 48 vCPUs 192 GB RAM,n2d-standard-48,Google,Compute Engine,,
632,n2d-standard-64 - 64 vCPUs 256 GB RAM,n2d-standard-64,Google,Compute Engine,,
634,n2d-standard-80 - 80 vCPUs 320 GB RAM,n2d-standard-80,Google,Compute Engine,,
635,n2d-standard-96 - 96 vCPUs 384 GB RAM,n2d-standard-96,Google,Compute Engine,,
625,n2d-standard-128 - 128 vCPUs 512 GB RAM,n2d-standard-128,Google,Compute Engine,,
628,n2d-standard-224 - 224 vCPUs 896 GB RAM,n2d-standard-224,Google,Compute Engine,,
617,n2d-highmem-2 - 2 vCPUs 16 GB RAM,n2d-highmem-2,Google,Compute Engine,,
619,n2d-highmem-4 - 4 vCPUs 32 GB RAM,n2d-highmem-4,Google,Compute Engine,,
622,n2d-highmem-8 - 8 vCPUs 64 GB RAM,n2d-highmem-8,Google,Compute Engine,,
616,n2d-highmem-16 - 16 vCPUs 128 GB RAM,n2d-highmem-16,Google,Compute Engine,,
618,n2d-highmem-32 - 32 vCPUs 256 GB RAM,n2d-highmem-32,Google,Compute Engine,,
620,n2d-highmem-48 - 48 vCPUs 384 GB RAM,n2d-highmem-48,Google,Compute Engine,,
