planId,planName,planCode,provisionType,description
153,GKE Controller,gke.default,GKE,GKE Controller
519,f1-micro - 1 vCPU (shared physical core) and 0.6 GB RAM,f1-micro,Google,1 vCPU (shared physical core) and 0.6 GB RAM
520,g1-small - 1 vCPU (shared physical core) and 1.7 GB RAM,g1-small,Google,1 vCPU (shared physical core) and 1.7 GB RAM
565,"n1-standard-1 - 1 vCPU, 3.75 GB RAM",n1-standard-1,Google,"1 vCPU, 3.75 GB RAM"
567,"n1-standard-2 - 2 vCPUs, 7.5 GB RAM",n1-standard-2,Google,"2 vCPUs, 7.5 GB RAM"
569,"n1-standard-4 - 4 vCPUs, 15 GB RAM",n1-standard-4,Google,"4 vCPUs, 15 GB RAM"
571,"n1-standard-8 - 8 vCPUs, 30 GB RAM",n1-standard-8,Google,"8 vCPUs, 30 GB RAM"
566,"n1-standard-16 - 16 vCPUs, 60 GB RAM",n1-standard-16,Google,"16 vCPUs, 60 GB RAM"
568,"n1-standard-32 - 32 vCPUs, 120 GB RAM",n1-standard-32,Google,"32 vCPUs, 120 GB RAM"
570,"n1-standard-64 - 64 vCPUs, 240 GB RAM",n1-standard-64,Google,"64 vCPUs, 240 GB RAM"
572,"n1-standard-96 - 96 vCPUs, 360 GB RAM",n1-standard-96,Google,"96 vCPUs, 360 GB RAM"
558,"n1-highmem-2 - 2 vCPUs, 13 GB RAM",n1-highmem-2,Google,"2 vCPUs, 13 GB RAM"
560,"n1-highmem-4 - 4 vCPUs, 26 GB RAM",n1-highmem-4,Google,"4 vCPUs, 26 GB RAM"
562,"n1-highmem-8 - 8 vCPUs, 52 GB RAM",n1-highmem-8,Google,"8 vCPUs, 52 GB RAM"
557,"n1-highmem-16 - 16 vCPUs, 104 GB RAM",n1-highmem-16,Google,"16 vCPUs, 104 GB RAM"
559,"n1-highmem-32 - 32 vCPUs, 208 GB RAM",n1-highmem-32,Google,"32 vCPUs, 208 GB RAM"
561,"n1-highmem-64 - 64 vCPUs, 416 GB RAM",n1-highmem-64,Google,"64 vCPUs, 416 GB RAM"
563,"n1-highmem-96 - 96 vCPUs, 624 GB RAM",n1-highmem-96,Google,"96 vCPUs, 624 GB RAM"
551,"n1-highcpu-2 - 2 vCPUs, 1.8 GB RAM",n1-highcpu-2,Google,"2 vCPUs, 1.8 GB RAM"
553,"n1-highcpu-4 - 4 vCPUs, 3.6 GB RAM",n1-highcpu-4,Google,"4 vCPUs, 3.6 GB RAM"
555,"n1-highcpu-8 - 8 vCPUs, 7.2 GB RAM",n1-highcpu-8,Google,"8 vCPUs, 7.2 GB RAM"
550,"n1-highcpu-16 - 16 vCPUs, 14.4 GB RAM",n1-highcpu-16,Google,"16 vCPUs, 14.4 GB RAM"
552,"n1-highcpu-32 - 32 vCPUs, 28.8 GB RAM",n1-highcpu-32,Google,"32 vCPUs, 28.8 GB RAM"
554,"n1-highcpu-64 - 64 vCPUs, 57.6 GB RAM",n1-highcpu-64,Google,"64 vCPUs, 57.6 GB RAM"
556,"n1-highcpu-96 - 96 vCPUs, 86 GB RAM",n1-highcpu-96,Google,"96 vCPUs, 86 GB RAM"
154,n1-custom,custom-google,Google,n1-custom
512,"e2-micro - Efficient Instance, 2 vCPU (1/8 shared physical core) and 1 GB RAM",e2-micro,Google,"Efficient Instance, 2 vCPU (1/8 shared physical core) and 1 GB RAM"
158,e2-custom-micro,e2-custom-micro-google,Google,e2-custom-micro
513,"e2-small - Efficient Instance, 2 vCPU (1/4 shared physical core) and 2 GB RAM",e2-small,Google,"Efficient Instance, 2 vCPU (1/4 shared physical core) and 2 GB RAM"
159,e2-custom-small,e2-custom-small-google,Google,e2-custom-small
511,"e2-medium - Efficient Instance, 2 vCPU (1/2 shared physical core) and 4 GB RAM",e2-medium,Google,"Efficient Instance, 2 vCPU (1/2 shared physical core) and 4 GB RAM"
160,e2-custom-medium,e2-custom-medium-google,Google,e2-custom-medium
515,"e2-standard-2 - Efficient Instance, 2 vCPUs, 8 GB RAM",e2-standard-2,Google,"Efficient Instance, 2 vCPUs, 8 GB RAM"
517,"e2-standard-4 - Efficient Instance, 4 vCPUs, 16 GB RAM",e2-standard-4,Google,"Efficient Instance, 4 vCPUs, 16 GB RAM"
